token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP125	0	0	0	vai	vai	_	_	_	_	_	linguistic	_	none	_	Begin=2.63	_	_	_	_
0-1	PKP125	0	0	1	ja	ja	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PKP125	0	0	2	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PKP125	0	0	3	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PKP125	0	0	4	andata	andata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PKP125	0	0	5	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PKP125	0	0	6	vacanza	vacanza	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PKP125	0	0	7	all'	all'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
0-8	PKP125	0	0	8	eden?	eden	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=5.33	_	_	_	_
1-0	PKP132	1	1	0	benissimo	benissimo	_	_	_	_	_	linguistic	_	none	_	Begin=6.16|End=7.12	_	_	_	_
2-0	PKP132	2	2	0	cinque	cinque	_	_	_	_	_	linguistic	_	none	_	Begin=7.89	_	_	_	_
2-1	PKP132	2	2	1	giorni	giorni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PKP132	2	2	2	proprio	proprio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PKP132	2	2	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PKP132	2	2	4	pace	pace	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PKP132	2	2	5	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PKP132	2	2	6	tranquillità	tranquillità	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
2-7	PKP132	2	2	7	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
