token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP081	0	0	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=0.55	_	_	_	_
0-1	PKP081	0	0	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PKP081	0	0	2	[capito]	capito	_	_	_	_	_	linguistic	_	none	_	End=1.38	_	_	_	0-6(0)
1-0	PKP082	1	1	0	[no	no	_	_	_	_	_	linguistic	_	none	_	Begin=0.746	_	_	_	0-2(0)
1-1	PKP082	1	1	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
1-2	PKP082	1	1	2	pronto]	pronto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(0)
1-3	PKP082	1	1	3	e:h	eh	_	_	_	_	_	linguistic	_	none	_	End=1.87	0x1	_	_	_
2-0	PKP082	2	2	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=1.942	_	_	_	_
2-1	PKP082	2	2	1	xx	xx	_	_	_	_	_	unknown	_	none	Syllables=2	_	_	_	_	_
2-2	PKP082	2	2	2	quanta	quanta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PKP082	2	2	3	pasta	pasta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PKP082	2	2	4	metti	metti	_	_	_	_	_	linguistic	_	none	_	End=3.128	_	_	_	_
3-0	PKP082	3	3	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=3.185|End=3.612	0x1	_	_	_
4-0	PKP082	4	4	0	#quanta	#quanta	_	_	_	_	_	error	_	none	_	Begin=4.933	_	_	_	_
4-1	PKP082	4	4	1	n'	n'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
4-2	PKP082	4	4	2	aggia	aggia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PKP082	4	4	3	fa	fa	_	_	_	_	_	linguistic	_	none	_	End=5.841	_	_	_	_
5-0	PKP083	5	5	0	vabbè	vabbè	_	_	_	_	_	linguistic	_	none	_	Begin=6.334	_	_	_	_
5-1	PKP083	5	5	1	tanto	tanto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PKP083	5	5	2	adesso	adesso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PKP083	5	5	3	stiamo	stiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PKP083	5	5	4	facendo	facendo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PKP083	5	5	5	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
5-6	PKP083	5	5	6	aperitivo	aperitivo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	PKP083	5	5	7	qua	qua	_	_	_	_	_	linguistic	_	none	_	End=8.172	_	_	_	_
6-0	PKP082	6	6	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=8.489|End=8.755	_	_	_	_
7-0	PKP082	7	7	0	un	un	_	_	_	_	_	linguistic	_	none	_	Begin=9.986	_	_	_	_
7-1	PKP082	7	7	1	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PKP082	7	7	2	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PKP082	7	7	3	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PKP082	7	7	4	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PKP082	7	7	5	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PKP082	7	7	6	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PKP082	7	7	7	meno	meno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PKP082	7	7	8	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-9	PKP082	7	7	9	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
