token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP125	0	0	0	buon	buon	_	_	_	_	_	linguistic	_	none	_	Begin=4.62	_	_	_	_
0-1	PKP125	0	0	1	appeti:to:	appetito	_	_	_	_	_	linguistic	_	none	_	End=5.512	5x1,7x1	_	_	_
1-0	PKP128	1	1	0	buon	buon	_	_	_	_	_	linguistic	_	none	_	Begin=5.721	_	_	_	_
1-1	PKP128	1	1	1	appetito	appetito	_	_	_	_	_	linguistic	_	none	_	End=6.491	_	_	_	_
2-0	PKP125	2	2	0	m:h	mh	_	_	_	_	_	linguistic	_	none	_	Begin=7.548|End=7.843	0x1	_	_	_
3-0	PKP125	3	3	0	ops	ops	_	_	_	_	_	linguistic	_	none	_	Begin=10.554|End=11.017	_	_	_	_
4-0	PKP128	4	4	0	albe'	albe'	_	_	_	_	_	linguistic	_	none	Truncated=Yes	Begin=13.899	_	_	_	_
4-1	PKP128	4	4	1	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PKP128	4	4	2	buoni	buoni	_	_	_	_	_	linguistic	_	none	_	End=14.682	_	_	_	_
5-0	PKP125	5	5	0	sono	sono	_	_	_	_	_	linguistic	_	none	_	Begin=15.382	_	_	_	_
5-1	PKP125	5	5	1	buoni?	buoni	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=15.972	_	_	_	_
6-0	PKP128	6	6	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=16.245|End=16.456	_	_	_	_
7-0	PKP125	7	7	0	mo	mo	_	_	_	_	_	linguistic	_	none	_	Begin=17.95	_	_	_	_
7-1	PKP125	7	7	1	li	li	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PKP125	7	7	2	assa:ggio	assaggio	_	_	_	_	_	linguistic	_	none	_	_	3x1	_	_	_
7-3	PKP125	7	7	3	eh	eh	_	_	_	_	_	linguistic	_	none	_	End=18.904	_	_	_	_
8-0	PKP128	8	8	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=21.527|End=21.763	_	_	_	_
9-0	PKP128	9	9	0	mi	mi	_	_	_	_	_	linguistic	_	none	_	Begin=22.524	_	_	_	_
9-1	PKP128	9	9	1	passi	passi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PKP128	9	9	2	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	PKP128	9	9	3	parmigiano?	parmigiano	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=23.406	_	_	_	_
10-0	PKP125	10	10	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=25.307	_	_	_	_
10-1	PKP125	10	10	1	m:h	mh	_	_	_	_	_	linguistic	_	none	_	End=25.763	0x1	_	_	_
11-0	PKP129	11	11	0	ti	ti	_	_	_	_	_	linguistic	_	none	_	Begin=27.62	_	_	_	_
11-1	PKP129	11	11	1	piacciono?	piacciono	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=28.258	_	_	_	_
12-0	PKP125	12	12	0	m:h	mh	_	_	_	_	_	linguistic	_	none	_	Begin=29.413|End=29.753	0x1	_	_	_
